AFUA_1G16560	AFUB_015910
AFUA_8G06560	AFUB_081210
AFUA_6G07870	AFUB_073850
AFUA_5G02655	AFUB_051190
AFUA_1G06520	AFUB_006900
AFUA_6G14410	AFUB_000350
AFUA_3G02190	AFUB_046180
AFUA_3G03970	AFUB_043990
AFUA_4G01322	AFUB_101810
AFUA_6G11390	AFUB_077400
AFUA_3G10510	AFUB_038650
AFUA_1G11820	AFUB_011270
AFUA_1G10040	AFUB_009460
AFUA_7G05230	AFUB_090810
AFUA_5G06540	AFUB_054090
AFUA_3G06070	AFUB_042980
AFUA_7G03990	AFUB_089520
AFUA_2G02640	AFUB_019740
AFUA_5G11840	AFUB_059390
AFUA_5G10060	AFUB_057650
AFUA_3G07860	AFUB_041250
AFUA_8G01350	AFUB_085260, AFUB_075460, AFUB_075270
AFUA_6G02660	AFUB_095650
AFUA_1G01310	AFUB_079480
AFUA_1G15710	AFUB_015240
AFUA_4G10510	AFUB_067610
AFUA_3G11380	AFUB_037790
AFUA_8G05230	AFUB_082290
AFUA_1G12690	AFUB_012160
AFUA_5G01330	AFUB_049840
AFUA_4G03980	AFUB_099030
AFUA_3G15260	AFUB_033960
AFUA_4G09100	AFUB_066200
AFUA_2G11830	AFUB_027570
AFUA_6G06550	AFUB_072480
AFUA_4G07860	AFUB_064970
AFUA_4G06080	AFUB_063190
AFUA_1G05200	AFUB_005560
AFUA_4G14400	AFUB_071660
AFUA_3G02650	AFUB_020080
AFUA_6G11850	AFUB_077850
AFUA_6G10070	AFUB_076140
AFUA_1G03960	AFUB_004360
AFUA_1G02180	AFUB_002560
AFUA_1G16580	AFUB_015950
AFUA_4G06085	AFUB_063200
AFUA_3G06530	AFUB_042520
AFUA_2G15720	AFUB_031370
AFUA_2G01320	AFUB_018400
AFUA_5G10520	AFUB_058120
AFUA_4G11390	AFUB_068420
AFUA_8G01810	AFUB_084790
AFUA_2G05200	AFUB_022230
AFUA_5G03990	AFUB_052490
AFUA_1G06071	AFUB_006450
AFUA_3G10060	AFUB_039120
AFUA_3G11840	AFUB_037340
AFUA_1G11370	AFUB_010800
AFUA_5G07870	AFUB_055400
AFUA_5G06090	AFUB_053650
AFUA_5G14410	AFUB_062130
AFUA_3G01320	AFUB_047060
AFUA_4G02660	AFUB_100490
AFUA_2G16590	AFUB_032270
AFUA_2G03970	AFUB_021040
AFUA_2G02190	AFUB_019280
AFUA_5G11390	AFUB_058960
AFUA_2G10510	AFUB_026300
AFUA_4G06540	AFUB_063620
AFUA_8G02680	AFUB_083910
AFUA_6G03990	AFUB_094290
AFUA_6G10530	AFUB_076580
AFUA_1G02640	AFUB_003040
AFUA_1G15260	AFUB_014810
AFUA_6G09110	AFUB_075060
AFUA_4G10060	AFUB_067170
AFUA_7G01350	AFUB_087930
AFUA_2G07860	AFUB_023880
AFUA_2G06080	AFUB_023160
AFUA_5G02660	AFUB_051200
AFUA_4G11850	AFUB_068850
AFUA_2G11380	AFUB_027140
AFUA_8G06570	AFUB_081200
AFUA_6G07880	AFUB_073860
AFUA_1G06530	AFUB_006910
AFUA_6G01800	AFUB_096550
AFUA_6G14420	AFUB_000340
AFUA_3G03980	AFUB_043980
AFUA_3G10520	AFUB_038640
AFUA_3G09100	AFUB_040030
AFUA_1G11830	AFUB_011280
AFUA_1G10050	AFUB_009470
AFUA_7G05240	AFUB_090820
AFUA_5G06550	AFUB_054100
AFUA_3G06080	AFUB_042970
AFUA_3G14400	AFUB_034830
AFUA_2G15270	AFUB_030940
AFUA_2G02650	AFUB_019750
AFUA_5G11850	AFUB_059400
AFUA_5G10070	AFUB_057660
AFUA_8G01360	AFUB_085250
AFUA_3G07870	AFUB_041240
AFUA_6G02670	AFUB_095640
AFUA_1G01320	AFUB_079470
AFUA_1G15720	AFUB_015250
AFUA_4G10520	AFUB_067620
AFUA_3G11390	AFUB_037780
AFUA_8G05240	AFUB_082280
AFUA_7G01810	AFUB_088380
AFUA_5G01340	AFUB_049850
AFUA_4G03990	AFUB_099020
AFUA_3G15270	AFUB_033950
AFUA_4G09110	AFUB_066210
AFUA_2G11840	AFUB_027580
AFUA_2G10060	AFUB_025870
AFUA_6G06560	AFUB_072490
AFUA_4G07870	AFUB_064980
AFUA_4G06090	AFUB_063210
AFUA_1G05210	AFUB_005570
AFUA_6G13100	AFUB_001660
AFUA_4G14410	AFUB_071670
AFUA_6G10080	AFUB_076150
AFUA_1G03970	AFUB_004370
AFUA_1G02190	AFUB_002570
AFUA_1G16590	AFUB_015960
AFUA_1G10510	AFUB_009940
AFUA_7G05700	AFUB_091270
AFUA_3G06540	AFUB_042510
AFUA_2G15730	AFUB_031380
AFUA_2G01330	AFUB_018410
AFUA_5G10530	AFUB_058150
AFUA_8G01820	AFUB_084780
AFUA_2G05210	AFUB_022240
AFUA_1G06080	AFUB_006460
AFUA_1G14400	AFUB_013940
AFUA_3G10070	AFUB_039110
AFUA_3G11850	AFUB_037330
AFUA_5G09120	AFUB_056660
AFUA_8G05700	AFUB_086620, AFUB_081850
AFUA_1G11380	AFUB_010810
AFUA_7G06570	AFUB_092140
AFUA_5G07880	AFUB_055410
AFUA_5G14420	AFUB_062140
AFUA_5G01800	AFUB_050330
AFUA_3G01330	AFUB_047050
AFUA_2G03980	AFUB_021050
AFUA_2G10520	AFUB_026310
AFUA_2G09100	AFUB_024980
AFUA_6G05240	AFUB_020420
AFUA_4G06550	AFUB_063630
AFUA_8G02690	AFUB_083900
AFUA_2G14400	AFUB_030020
AFUA_6G10540	AFUB_076590
AFUA_1G02650	AFUB_003050
AFUA_1G15270	AFUB_014820
AFUA_6G09120	AFUB_075090
AFUA_4G10070	AFUB_067180
AFUA_2G06090	AFUB_023170
AFUA_2G07870	AFUB_023890
AFUA_5G02670	AFUB_051210
AFUA_4G11860	AFUB_068860
AFUA_8G06580	AFUB_081190
AFUA_6G07890	AFUB_073870
AFUA_6G01810	AFUB_096530
AFUA_1G06540	AFUB_006920
AFUA_4G01340	AFUB_101820
AFUA_3G03990	AFUB_043970
AFUA_3G10530	AFUB_044400, AFUB_038630
AFUA_3G09110	AFUB_040020
AFUA_1G11840	AFUB_011290
AFUA_1G10060	AFUB_009480
AFUA_7G05250	AFUB_090830
AFUA_5G06560	AFUB_054110
AFUA_5G13100	AFUB_060810
AFUA_3G06090	AFUB_042960
AFUA_3G14410	AFUB_034820
AFUA_2G15280	AFUB_030950
AFUA_2G02660	AFUB_019760
AFUA_5G11860	AFUB_059410
AFUA_5G10080	AFUB_057680
AFUA_8G01370	AFUB_085240
AFUA_6G02680	AFUB_095630
AFUA_3G01800	AFUB_046610
AFUA_1G01330	AFUB_079460
AFUA_1G15730	AFUB_015260
AFUA_4G10530	AFUB_067630
AFUA_7G01820	AFUB_088390
AFUA_5G01350	AFUB_049860
AFUA_3G15280	AFUB_033940
AFUA_4G09120	AFUB_066220
AFUA_2G11850	AFUB_027590
AFUA_2G10070	AFUB_025880
AFUA_6G06570	AFUB_072500
AFUA_4G07880	AFUB_064990
AFUA_1G05220	AFUB_005580
AFUA_6G13110	AFUB_001650
AFUA_4G14420	AFUB_071680
AFUA_3G02670	AFUB_045610
AFUA_6G11870	AFUB_077870
AFUA_6G10090	AFUB_076160
AFUA_7G05710	AFUB_091280
AFUA_1G09100	AFUB_008520
AFUA_3G06550	AFUB_042500
AFUA_2G01340	AFUB_018420
AFUA_1G10525	AFUB_009950
AFUA_2G15740	AFUB_031390
AFUA_5G10540	AFUB_058160
AFUA_8G01830	AFUB_084770
AFUA_2G05220	AFUB_022250
AFUA_1G06090	AFUB_006470
AFUA_1G14410	AFUB_013950
AFUA_3G10080	AFUB_039100
AFUA_3G11860	AFUB_037320
AFUA_5G09130	AFUB_056680
AFUA_8G05710	AFUB_081840
AFUA_1G11390	AFUB_010820
AFUA_7G06580	AFUB_092150
AFUA_5G07890	AFUB_055420
AFUA_5G01810	AFUB_050340
AFUA_3G01340	AFUB_047040
AFUA_3G10085	AFUB_039090
AFUA_4G02680	AFUB_100470
AFUA_2G03990	AFUB_021060
AFUA_2G10530	AFUB_026320
AFUA_2G09110	AFUB_024990
AFUA_6G05250	AFUB_093030
AFUA_4G06560	AFUB_063640
AFUA_2G14410	AFUB_030030
AFUA_6G10550	AFUB_076600
AFUA_1G02660	AFUB_003060
AFUA_1G15280	AFUB_014830
AFUA_6G09130	AFUB_075100
AFUA_4G10080	AFUB_067190
AFUA_5G05700	AFUB_053240
AFUA_8G00500	AFUB_086070
AFUA_7G01370	AFUB_087940
AFUA_2G07880	AFUB_023900
AFUA_2G01800	AFUB_018870
AFUA_4G11870	AFUB_068870
AFUA_5G05705	AFUB_053250
AFUA_8G06590	AFUB_081180
AFUA_6G01820	AFUB_096520
AFUA_1G06550	AFUB_006930
AFUA_4G01350	AFUB_101830
AFUA_6G14442	AFUB_000330
AFUA_3G10540	AFUB_038620
AFUA_3G09120	AFUB_040010
AFUA_1G11850	AFUB_011300
AFUA_7G05260	AFUB_090840
AFUA_5G06570	AFUB_054120
AFUA_5G13110	AFUB_060820
AFUA_3G14420	AFUB_034810
AFUA_2G15290	AFUB_030960
AFUA_2G02670	AFUB_019770
AFUA_5G11870	AFUB_059420
AFUA_5G10090	AFUB_057690
AFUA_8G01380	AFUB_085230
AFUA_3G07890	AFUB_041230
AFUA_6G02690	AFUB_095620
AFUA_3G01810	AFUB_046600
AFUA_1G01340	AFUB_079450
AFUA_1G15740	AFUB_015270
AFUA_4G10540	AFUB_067640
AFUA_8G05260	AFUB_082270
AFUA_7G01830	AFUB_088400
AFUA_5G01360	AFUB_080170, AFUB_049870
AFUA_3G15290	AFUB_033930
AFUA_4G09130	AFUB_066230
AFUA_2G11860	AFUB_027600
AFUA_2G10080	AFUB_025890
AFUA_6G06580	AFUB_072510
AFUA_6G00500	AFUB_097010
AFUA_4G07890	AFUB_065000
AFUA_1G05230	AFUB_005590
AFUA_6G13120	AFUB_001640
AFUA_3G02680	AFUB_045600
AFUA_6G11880	AFUB_077880
AFUA_7G05720	AFUB_091290
AFUA_1G09110	AFUB_008530
AFUA_1G03992	AFUB_004380
AFUA_3G02685	AFUB_045595
AFUA_3G06560	AFUB_042490
AFUA_3G13100	AFUB_036100
AFUA_2G15750	AFUB_031400
AFUA_2G01350	AFUB_018430
AFUA_5G10550	AFUB_058170
AFUA_8G01840	AFUB_084760
AFUA_2G05230	AFUB_022260
AFUA_1G14420	AFUB_013960
AFUA_5G09140	AFUB_056690
AFUA_3G10090	AFUB_039080
AFUA_3G11870	AFUB_037310
AFUA_8G05720	AFUB_081830
AFUA_7G06590	AFUB_092160
AFUA_7G00510	AFUB_087110
AFUA_5G01820	AFUB_050350
AFUA_3G01350	AFUB_047030
AFUA_2G10540	AFUB_026330
AFUA_2G09120	AFUB_025000
AFUA_6G05260	AFUB_093020
AFUA_4G06570	AFUB_063650
AFUA_2G14420	AFUB_030040
AFUA_6G10560	AFUB_076610
AFUA_1G15290	AFUB_014840
AFUA_1G02670	AFUB_003070
AFUA_4G13113	AFUB_070000
AFUA_6G09140	AFUB_075110
AFUA_4G10090	AFUB_067200
AFUA_5G05710	AFUB_053260
AFUA_8G00510	AFUB_086060
AFUA_7G01380	AFUB_087950
AFUA_2G07890	AFUB_023910
AFUA_5G02690	AFUB_051220
AFUA_2G01810	AFUB_018880
AFUA_4G11880	AFUB_068880
AFUA_6G01830	AFUB_096510
AFUA_1G06560	AFUB_006940
AFUA_6G14450	AFUB_000320
AFUA_4G01360	AFUB_101840
AFUA_5G09600	AFUB_057150
AFUA_3G10550	AFUB_038610
AFUA_8G04400	AFUB_083140
AFUA_3G09130	AFUB_040000
AFUA_1G11860	AFUB_011310
AFUA_1G10080	AFUB_009490
AFUA_7G05270	AFUB_090850
AFUA_5G06580	AFUB_054130
AFUA_5G13120	AFUB_060830
AFUA_5G00500	AFUB_048970
AFUA_5G14900	AFUB_079010, AFUB_096600, AFUB_044570, AFUB_044390
AFUA_3G14430	AFUB_034800
AFUA_2G02680	AFUB_019780
AFUA_5G11880	AFUB_059430
AFUA_8G01390	AFUB_085220
AFUA_3G01820	AFUB_046590
AFUA_2G13100	AFUB_028730
AFUA_1G01350	AFUB_079440
AFUA_1G15750	AFUB_015280
AFUA_4G10550	AFUB_067650
AFUA_6G09600	AFUB_075650
AFUA_8G05270	AFUB_082260
AFUA_3G05700	AFUB_043310
AFUA_7G01840	AFUB_088410
AFUA_5G01370	AFUB_049880
AFUA_4G09140	AFUB_066240
AFUA_2G11870	AFUB_027610
AFUA_2G10090	AFUB_025900, AFUB_059030
AFUA_6G06590	AFUB_072520
AFUA_6G00510	AFUB_097000
AFUA_6G13130	AFUB_001630
AFUA_1G05240	AFUB_005600
AFUA_4G14440	AFUB_071690
AFUA_3G02690	AFUB_045590
AFUA_6G11890	AFUB_077890
AFUA_1G10540	AFUB_009960
AFUA_7G05730	AFUB_091300
AFUA_1G09120	AFUB_008540
AFUA_3G06570	AFUB_042480
AFUA_3G13110	AFUB_036090
AFUA_2G15760	AFUB_031410
AFUA_2G01360	AFUB_018440
AFUA_7G05735	AFUB_091310
AFUA_5G10560	AFUB_058180
AFUA_6G04400	AFUB_093890
AFUA_8G01850	AFUB_084750
AFUA_2G05240	AFUB_022270
AFUA_1G14430	AFUB_013970
AFUA_5G09150	AFUB_056700
AFUA_3G11880	AFUB_037300
AFUA_1G01812	AFUB_002200
AFUA_8G05730	AFUB_081820
AFUA_5G01830	AFUB_050360
AFUA_3G01360	AFUB_047020
AFUA_4G09600	AFUB_066710
AFUA_2G10550	AFUB_026340
AFUA_7G04400	AFUB_089950
AFUA_2G09130	AFUB_025010
AFUA_6G05270	AFUB_093010
AFUA_4G06580	AFUB_063660
AFUA_1G05700	AFUB_006070
AFUA_4G00500	AFUB_101050
AFUA_4G13120	AFUB_070010
AFUA_2G14430	AFUB_030050
AFUA_6G09150	AFUB_075120
AFUA_5G05720	AFUB_053270
AFUA_8G00520	AFUB_086050
AFUA_7G01390	AFUB_087960
AFUA_2G01820	AFUB_018890
AFUA_1G13100	AFUB_012580
AFUA_4G11890	AFUB_068890
AFUA_2G05700	AFUB_022730
AFUA_6G01840	AFUB_096500
AFUA_1G06570	AFUB_006950
AFUA_6G14460	AFUB_000310, AFUB_000140
AFUA_4G01370	AFUB_101850
AFUA_5G09610	AFUB_057160
AFUA_3G10560	AFUB_038600
AFUA_8G04410	AFUB_083130
AFUA_1G11870	AFUB_011320
AFUA_1G10090	AFUB_009500
AFUA_3G09140	AFUB_039990
AFUA_7G05280	AFUB_090860
AFUA_5G06590	AFUB_054140, AFUB_048630
AFUA_5G14910	AFUB_079020
AFUA_5G13130	AFUB_060840
AFUA_5G00510	AFUB_048980
AFUA_3G14440	AFUB_034790
AFUA_2G02690	AFUB_019790
AFUA_5G11890	AFUB_059440
AFUA_3G14445	AFUB_034780
AFUA_2G13110	AFUB_028740
AFUA_1G01360	AFUB_079430
AFUA_1G15760	AFUB_015290
AFUA_6G09610	AFUB_075660
AFUA_4G10560	AFUB_067660
AFUA_8G05280	AFUB_082250
AFUA_5G04400	AFUB_052960
AFUA_7G01850	AFUB_088420
AFUA_5G01380	AFUB_049890
AFUA_4G09150	AFUB_066250
AFUA_2G11880	AFUB_027620
AFUA_2G17000	AFUB_032690
AFUA_6G00520	AFUB_096980
AFUA_6G13140	AFUB_001620
AFUA_4G14450	AFUB_071700
AFUA_3G09600	AFUB_039570
AFUA_1G10550	AFUB_009970
AFUA_7G05740	AFUB_091320
AFUA_1G09130	AFUB_008550
AFUA_3G06580	AFUB_042470
AFUA_3G00500	AFUB_047950
AFUA_3G14900	AFUB_097530, AFUB_034340
AFUA_3G13120	AFUB_036080
AFUA_2G15770	AFUB_031420
AFUA_2G01370	AFUB_018450
AFUA_5G10570	AFUB_058190
AFUA_6G04410	AFUB_093880
AFUA_8G01860	AFUB_084740
AFUA_2G05250	AFUB_022280
AFUA_1G14440	AFUB_013980
AFUA_1G01820	AFUB_002220
AFUA_3G11890	AFUB_037290
AFUA_8G05740	AFUB_081810
AFUA_7G00530	AFUB_087120
AFUA_5G01840	AFUB_050370
AFUA_3G01370	AFUB_047010
AFUA_4G09610	AFUB_066720
AFUA_2G10560	AFUB_026350
AFUA_7G04410	AFUB_089960
AFUA_2G09140	AFUB_025020
AFUA_6G05280	AFUB_093000
AFUA_4G06590	AFUB_063670
AFUA_6G13600	AFUB_001140
AFUA_1G05710	AFUB_006080
AFUA_4G13130	AFUB_070020
AFUA_4G00510	AFUB_101060
AFUA_2G14440	AFUB_030060
AFUA_6G10580	AFUB_076620
AFUA_6G09160	AFUB_075130
AFUA_5G05730	AFUB_053280
AFUA_8G00530	AFUB_086040
AFUA_6G09165	AFUB_075140
AFUA_2G01830	AFUB_018900
AFUA_1G13110	AFUB_012590
AFUA_2G05710	AFUB_022740
AFUA_6G01850	AFUB_096490
AFUA_1G06580	AFUB_006960
AFUA_6G14470	AFUB_000300
AFUA_4G01380	AFUB_101860
AFUA_1G00500	AFUB_097930
AFUA_5G09620	AFUB_057170
AFUA_3G10570	AFUB_038590
AFUA_8G04420	AFUB_083120
AFUA_3G09150	AFUB_039980
AFUA_1G11880	AFUB_011330
AFUA_7G05290	AFUB_090870
AFUA_1G17000	AFUB_016390
AFUA_5G13140	AFUB_060850
AFUA_5G00520	AFUB_048940, AFUB_048990
AFUA_3G14450	AFUB_034770
AFUA_3G01840	AFUB_046580
AFUA_2G14900	AFUB_030540
AFUA_2G13120	AFUB_028750
AFUA_2G00500	AFUB_017560
AFUA_1G01370	AFUB_079420
AFUA_1G15770	AFUB_015300
AFUA_6G09620	AFUB_075670
AFUA_4G10570	AFUB_067670
AFUA_8G05290	AFUB_082240
AFUA_5G04410	AFUB_052970
AFUA_3G05720	AFUB_043300
AFUA_2G14905	AFUB_030550
AFUA_7G01860	AFUB_088430
AFUA_4G09160	AFUB_066260
AFUA_2G11890	AFUB_027630
AFUA_6G00530	AFUB_096970
AFUA_1G05260	AFUB_005610
AFUA_6G13150	AFUB_001610
AFUA_4G14460	AFUB_071710
AFUA_3G09610	AFUB_039560
AFUA_1G10560	AFUB_009980
AFUA_1G09140	AFUB_008560
AFUA_7G05752	AFUB_091330
AFUA_5G13600	AFUB_061300
AFUA_3G06590	AFUB_042460
AFUA_3G00510	AFUB_047940
AFUA_3G14910	AFUB_034330
AFUA_3G13130	AFUB_036070
AFUA_2G15780	AFUB_031430
AFUA_2G01380	AFUB_018460
AFUA_5G10580	AFUB_058200
AFUA_6G04420	AFUB_093870
AFUA_3G14915	AFUB_034320
AFUA_8G01870	AFUB_084730
AFUA_2G05260	AFUB_022290
AFUA_1G01830	AFUB_002230
AFUA_1G14450	AFUB_013990
AFUA_6G08300	AFUB_074260
AFUA_5G09170	AFUB_056710
AFUA_8G05750	AFUB_081800
AFUA_7G00540	AFUB_087130
AFUA_5G01850	AFUB_050380
AFUA_4G09620	AFUB_066730
AFUA_7G04420	AFUB_089970
AFUA_2G09150	AFUB_025030
AFUA_6G05290	AFUB_092990
AFUA_1G05720	AFUB_006090
AFUA_6G13610	AFUB_001130
AFUA_4G00520	AFUB_101070
AFUA_4G13140	AFUB_070030
AFUA_2G14450	AFUB_030070
AFUA_6G10590	AFUB_076630
AFUA_6G09170	AFUB_075150
AFUA_1G09600	AFUB_009050
AFUA_5G05740	AFUB_053290
AFUA_8G00540	AFUB_086030
AFUA_1G13120	AFUB_012600
AFUA_2G01840	AFUB_018910
AFUA_4G04410	AFUB_098610
AfuMt00100	AFUB_066480
AFUA_2G05720	AFUB_022750
AFUA_6G14480	AFUB_000290
AFUA_1G06590	AFUB_006970
AFUA_6G01860	AFUB_096480
AFUA_1G00510	AFUB_097940
AFUA_1G14910	AFUB_014450
AFUA_4G01392	AFUB_101870
AFUA_4G04415	AFUB_098600
AFUA_5G09630	AFUB_057180
AFUA_3G10580	AFUB_038580
AFUA_8G04430	AFUB_083110
AFUA_3G09160	AFUB_039970
AFUA_1G11890	AFUB_011340
AFUA_1G17010	AFUB_016400
AFUA_5G13150	AFUB_060860
AFUA_5G00530	AFUB_049000
AFUA_5G14930	AFUB_079040
AFUA_3G14460	AFUB_034760
AFUA_4G08300	AFUB_065410
AFUA_2G09610	AFUB_025470
AFUA_4G13600	AFUB_070520
AFUA_2G14910	AFUB_030560
AFUA_2G13130	AFUB_028760
AFUA_2G00510	AFUB_017570
AFUA_3G01850	AFUB_046570
AFUA_1G01380	AFUB_079410
AFUA_1G15780	AFUB_015310
AFUA_6G09630	AFUB_075680
AFUA_4G10580	AFUB_064900
AFUA_5G04420	AFUB_052980
AFUA_3G05730	AFUB_043290
AFUA_7G01870	AFUB_088440
AFUA_7G00090	AFUB_092830
AFUA_5G08300	AFUB_055850
AFUA_4G09170	AFUB_066270
AFUA_2G04400	AFUB_021440
AFUA_1G05270	AFUB_005620
AFUA_6G00540	AFUB_096960
AFUA_6G13160	AFUB_001600
AFUA_4G14470	AFUB_071730
AFUA_3G09620	AFUB_039550
AFUA_1G10570	AFUB_009990
AFUA_1G09150	AFUB_008570
AFUA_5G13610	AFUB_061310
AFUA_3G00520	AFUB_047930
AFUA_3G13140	AFUB_036060
AFUA_2G15790	AFUB_031440
AFUA_2G01390	AFUB_018470
AFUA_5G10590	AFUB_058210
AFUA_6G04430	AFUB_093860
AFUA_2G05270	AFUB_022300
AFUA_8G07000	AFUB_080790
AFUA_1G14460	AFUB_014000
AFUA_6G08310	AFUB_074270
AFUA_5G09180	AFUB_056720
AFUA_8G05760	AFUB_081790
AFUA_5G03100	AFUB_051610
AFUA_7G00550	AFUB_087140, AFUB_075280
AFUA_5G01860	AFUB_050390
AFUA_3G01390	AFUB_084240
AFUA_4G09630	AFUB_066740
AFUA_2G10580	AFUB_026360
AFUA_7G04430	AFUB_089980
AFUA_2G09160	AFUB_025040
AFUA_1G05730	AFUB_006100
AFUA_4G13150	AFUB_070040
AFUA_4G00530	AFUB_101080, AFUB_102340, AFUB_102330
AFUA_2G14460	AFUB_030080
AFUA_6G09180	AFUB_075160
AFUA_3G08300	AFUB_040800
AFUA_1G09610	AFUB_009060
AFUA_6G03100	AFUB_095190, AFUB_097540
AFUA_5G05750	AFUB_053300
AFUA_8G00550	AFUB_086020
AFUA_3G13600	AFUB_035590
AFUA_2G01850	AFUB_018920
AFUA_1G13130	AFUB_012610
AFUA_7G08320	AFUB_050430
AFUA_4G04420	AFUB_098590
AFUA_2G05730	AFUB_022760
AFUA_6G01870	AFUB_096470
AFUA_6G14490	AFUB_000280
AFUA_1G00520	AFUB_097950
AFUA_1G14920	AFUB_014460
AFUA_5G09640	AFUB_057190
AFUA_3G10590	AFUB_038570
AFUA_8G04440	AFUB_083100
AFUA_3G09170	AFUB_039960
AFUA_1G04400	AFUB_004740
AFUA_1G17020	AFUB_016410
AFUA_5G13160	AFUB_060870
AFUA_5G00540	AFUB_049010
AFUA_3G14470	AFUB_034750
AFUA_4G08310	AFUB_065420
AFUA_2G09620	AFUB_025480
AFUA_4G13610	AFUB_070530
AFUA_3G01860	AFUB_046560
AFUA_2G14920	AFUB_030570
AFUA_2G13140	AFUB_028770
AFUA_2G00520	AFUB_017580
